message,location
The thought of ruining this planet beyond  repair brings tears to my eyes,"[50, -5]"
Insuring waterfront properties will be unprofitable when they are underwater.,"[39, -77]"
"stop burning fossil fuels, and stop to insure them.  That's the only way to save our childrens lives.  Thanks","[51, 5]"
"Help Protect Our Natural World not Destroy it, the wild fires, volcanoes erupting, floods eg. You are part of the problem please Stop funding fossil fuels.","[51, 0]"
PROFIT can't be worth more than your GRANDCHILDREN !!!!!,"[56, -3]"
Your company is benefitting from fossil fuel companies who are burning the planet. Sop insuring these companies and start investing in solutions.,"[45, -123]"
"Dear Lloyd's    I am concerned about the future due to climate change. I read about climate-induced famine in other countries, and see floods and droughts closer to home on the news. I want to be hopeful for our world and for my children and grandchildren, that they can live on a cleaner planet, which respects all living things.     I urge you to end the practice of insuring companies that are engaged in polluting projects that will only increase the struggles of our planet.     Sincerely,    Sal Badali","[44, -80]"
Please stop insuring climate polluters we won't have a earth left,"[52, -1]"
surely time to act responsibly by turning away from highly damaging fossil fuels. ,"[52, 0]"
Do not invest in nuclear power as it causes public health detriment to everyone within 30km of a nuclear site.,"[51, -3]"
We urgently need to see what's happening all over the world to the people suffering the most from climate change and do all we can to help to curb the effects - especially for our children's children and for all people everywhere.,"[51, -3]"
"Re: Insuring fossil fuel companies.   Insuring that a few people get even richer now, or insuring that many people die later.  Think about the connection.  Please don't insure any new fossil fuel projects.","[45, -64]"
You're insuring the onslaught of climate catastrophe and the devastation of our natural habitat.,"[38, -86]"
"We are midway through the 6th mass extinction - us humans!!!! Without radical change our children will suffer greatly in the future, and we're unlikely to be around as a species in 100 years! Please act now! ","[49, 2]"
"The threat of climate change is hanging over us, constantly and it is tragic to think of the vast numbers of species that will become extinct, not to mention the huge conflicts that there will be between people competing for dwindling resources. Do you really want to be remembered as being on the wrong side of history? ","[37, -3]"
I'm asthmatic and would appreciate your not investing in coal projects anywhere in the world.,"[44, -80]"
Do not continue to insure fossil fuel projects!!!,"[51, 0]"
Please stop making profits from insuring companies that continue to destroy our environment.  Lloyd’s already has an appalling environmental record so why not change for the better for all our sakes. ,"[52, 0]"
"Fires and floods raged across the world, including in Canada where my relatives were on evacuation alert all summer. You can't continue to insure those creating the climate chaos, but must instead turn your attention to land defenders and people at risk from the climate crisis. No more pipelines, no more dirty coal!","[44, -79]"
Please don’t insure fossil fuel companies that are destroying our climate.,"[52, -1]"
I want to protect my grandson's future.,"[51, -1]"
"I love and cherish my children: I want to save them from climate chaos, and for them to live and enjoy the world we live in without danger and scarcity.","[53, 7]"
"As you  know, the world is on the cusp of a preventable global catastrophe, global warming.    All of us need to change and correct the path that we are on.  Particularly big corporate companies.      The devastation of the globe from the wildfire's in Australia to the flooding in parts of the far East.    Please be a leader and address and more importantly - live the change that this world so desperately needs.    Regards,  Lauren Mulcahy","[-34, 18]"
Leave something for the children. Stop investing in fossil fuel.   People not profit.,"[52, 0]"
"Please help save the world, not destroy it!","[33, -97]"
